file,t_mid,status,lag_s,rms_dbar,sharpness,ambiguity,n_overlap
FSA_001,1366295593.0,skip: <1800 s in water or no yo,nan,nan,nan,nan,0
FSA_002,1367387589.5,skip: <1800 s in water or no yo,nan,nan,nan,nan,0
FSA_003,1367390816.0,skip: <1800 s in water or no yo,nan,nan,nan,nan,0
FSA_004,1367393325.0,skip: <1800 s in water or no yo,nan,nan,nan,nan,0
FSA_005,1367394983.0,skip: <1800 s in water or no yo,nan,nan,nan,nan,0
FSA_006,1367398430.0,skip: <1800 s in water or no yo,nan,nan,nan,nan,0
FSA_007,1367403148.5,skip: <1800 s in water or no yo,nan,nan,nan,nan,0
FSA_008,1367403489.0,skip: <1800 s in water or no yo,nan,nan,nan,nan,0
FSA_009,1367464993.5,skip: <1800 s in water or no yo,nan,nan,nan,nan,0
FSA_010,1367474554.5,skip: <1800 s in water or no yo,nan,nan,nan,nan,0
FSA_011,1367478989.5,REFUSED: sharpness 63.7 ambiguity 1.0,-2715.75,0.19692399651328285,63.72083799097961,1.0027988344438716,1174
FSA_012,1367482730.0,skip: <1800 s in water or no yo,nan,nan,nan,nan,0
FSA_013,1367489419.0,ok,-2.0,0.16039000003700202,168.40797288971933,40.345251097830904,10264
FSA_014,1367498971.5,ok,-2.25,0.15213653107831068,174.631452677434,25.56187816435213,7067
FSB_001,1368837309.0,skip: <1800 s in water or no yo,nan,nan,nan,nan,0
FSB_002,1368837953.0,skip: <1800 s in water or no yo,nan,nan,nan,nan,0
FSB_003,1368838816.5,skip: <1800 s in water or no yo,nan,nan,nan,nan,0
FSB_004,1368919377.0,skip: <1800 s in water or no yo,nan,nan,nan,nan,0
FSB_005,1368940927.5,skip: <1800 s in water or no yo,nan,nan,nan,nan,0
FSB_006,1368942461.0,skip: <1800 s in water or no yo,nan,nan,nan,nan,0
FSB_007,1368949478.0,ok,-16.25,0.4560776126326123,120.88182502045647,86.84701644393338,7928
