file,t_mid,status,lag_s,rms_dbar,sharpness,ambiguity,n_overlap
CAS_001,nan,skip: <1800 s in water or no yo,nan,nan,nan,nan,0
CAS_002,nan,skip: <1800 s in water or no yo,nan,nan,nan,nan,0
CAS_003,nan,skip: <1800 s in water or no yo,nan,nan,nan,nan,0
CAS_004,nan,skip: <1800 s in water or no yo,nan,nan,nan,nan,0
CAS_005,1487506391.5,ok,-559.0,0.08524098959971639,283.43891321782763,19.47616681114507,2115
CAS_006,1487511865.0,skip: <1800 s in water or no yo,nan,nan,nan,nan,0
CAS_007,1487514168.5,ok,-559.75,0.13544252016630198,308.8190800825391,24.067211426772424,2449
CAS_008,1487517726.5,ok,-559.75,0.11627565704983642,408.3480973592053,208.80969552748513,3261
CAS_009,1487525826.0,ok,-559.75,0.14808085032859425,336.6410909401238,246.07212653372667,10466
CAS_010,1487536505.5,ok,-559.5,0.1463282347654901,340.7430088848082,243.86081619075244,8679
CAS_011,1487547222.0,ok,-559.25,0.15035200175636346,329.7673521873239,228.0297356008072,10568
CAS_012,1487558427.0,ok,-559.25,0.10956420990047237,445.8363801529643,340.1057782595758,9792
CAS_013,1487569152.5,ok,-559.25,0.1348265203272462,357.8292356168404,175.45946920847592,10311
CAS_014,1487580175.5,ok,-560.0,0.11199025045155901,453.9808985867458,354.87772090895754,9181
CAS_015,1487590722.5,ok,-560.0,0.11234536213249069,416.18441824920086,271.8356531852462,10317
CAS_016,1487601716.5,ok,-559.75,0.10965056748695935,431.20513513260937,319.27459027048957,9921
CAS_017,1487612514.5,ok,-559.75,0.13034584347881875,349.71645603637995,264.3733022062697,9947
CAS_018,1487633999.5,ok,-559.75,0.12771676294116285,388.14926122500106,294.6726095585563,9645
CAS_019,1487644825.5,ok,-559.5,0.12446022332574448,370.4888565771742,248.51712848288074,10579
CAS_020,1487655650.0,ok,-560.5,0.13257647717382093,396.32758690723193,283.93968984375005,9046
CAS_021,1487666231.0,ok,-560.25,0.11865482545507489,411.40910284629126,282.9496447356028,10424
CAS_022,1487677450.5,ok,-560.0,0.13917166917476972,344.92698119728465,242.50485171406189,10089
CAS_023,1487688153.0,ok,-560.0,0.13901560895897738,356.71035563399374,280.1651292950055,9490
CAS_024,1487696863.0,ok,-559.75,0.13037020402962965,410.9295030605116,282.1766384844251,6010
CAS_025,1487704171.5,ok,-560.25,0.14356288932184877,341.25671547160687,255.9264199866192,6973
CAS_026,1487711468.0,ok,-560.0,0.13575510974011953,392.54438404579105,277.4992927425775,5884
CAS_027,1487720680.0,ok,-560.0,0.10565371474062303,432.73369628674226,348.09962892861347,10738
CAS_028,1487729943.5,ok,-560.75,0.12696799170335313,418.8298857746721,295.57373145943666,5893
CAS_029,1487734976.0,ok,-560.75,0.12977046126281444,386.8651790989853,15.498360876554278,2498
CAS_030,nan,skip: <1800 s in water or no yo,nan,nan,nan,nan,0
CAS_031,nan,skip: <1800 s in water or no yo,nan,nan,nan,nan,0
CAS_032,1487769759.0,ok,-560.25,0.0916865816733523,325.04598653028927,59.672030233724804,2296
CAS_033,1487782794.5,ok,-560.25,0.12166531054761137,405.1062992461169,265.4924153495464,10265
CAS_034,1487793702.0,ok,-561.0,0.14816039534544626,332.8832146144219,257.49476916567727,9688
CAS_035,1487804412.0,ok,-560.75,0.14334387996660958,325.052034675714,257.2554524615813,10106
CAS_036,1487815356.0,ok,-560.75,0.12126866383088032,393.41198652854064,310.9238692170336,9918
CAS_037,1487826067.0,ok,-560.5,0.12165093869007172,384.2182732666307,272.9932149824982,10056
CAS_038,1487836591.0,ok,-560.5,0.1138089274598918,448.9959198291741,300.5300829217021,8832
CAS_039,1487847067.0,ok,-561.5,0.12076809855824773,413.7744198239856,267.40943456928,10480
CAS_040,1487858502.0,ok,-561.25,0.10926860386754095,458.10958270722057,320.8110289608022,10362
CAS_041,1487869236.5,ok,-561.25,0.09754792875598493,557.8318461464427,385.2156719752909,8767
CAS_042,1487879950.0,ok,-561.0,0.1296715493007568,373.8776150704383,247.69183027312172,10866
CAS_043,1487890972.5,ok,-561.0,0.13521630464922293,381.371031792614,281.15558106482393,9207
CAS_044,1487901683.0,ok,-561.0,0.12568091509687024,366.1460926687944,264.0197014627821,10222
CAS_045,1487912429.0,ok,-561.5,0.10488432020857727,475.43887941796044,356.4039089687908,9640
CAS_046,1487923362.5,ok,-561.75,0.10603834894183412,444.5112122727804,306.87835259534444,10319
CAS_047,1487934237.0,ok,-561.5,0.11049506210353213,461.7539069543859,345.0886373480684,9392
CAS_048,1487945067.5,ok,-561.5,0.11097542251525706,423.66464149211527,292.1629423121227,10453
CAS_049,1487955639.0,ok,-561.5,0.13188975000291422,408.64659175461367,279.4824148343955,8800
CAS_050,1487966105.5,ok,-561.5,0.13877223994241164,354.53504609595245,234.50643585258325,10337
CAS_051,1487977489.5,ok,-561.5,0.10345042202061458,444.88859969447384,281.0118209678926,10385
CAS_052,1487988378.5,ok,-562.25,0.10937591158544158,446.4157808849829,262.1707585263206,10087
CAS_053,1487998821.0,ok,-562.0,0.11945084458952297,435.8069599426184,260.9600923006598,8014
CAS_054,1488009023.0,ok,-562.25,0.10574273315803902,465.0254998720386,314.7802570560422,10648
CAS_055,1488020740.5,ok,-562.0,0.10922672680041624,446.4841635131918,314.1891001080188,10685
