sensor_type,serial,campaign,instrument,channel,first_used,last_used,n_files,configured_value
FP07,T,ARCTERX-2025 Wake,VMP SN479,T1,2025-01-14,2025-01-24,29,3143.55
FP07,T,ARCTERX-2025 Wake,VMP SN479,T2,2025-01-14,2025-01-24,29,3143.55
FP07,T1000,CASPER-West 2017,VMP-250IR SN194,T1,2017-09-28,2017-10-25,247,3143.55
FP07,T1001,CASPER-West 2017,VMP-250IR SN194,T2,2017-09-28,2017-10-25,247,3143.55
FP07,T1030,ASTRAL 2023,VMP250IR-DL3 SN92,T1,2023-06-17,2023-06-24,13,3143.55
FP07,T1057,CASPER-West 2017,MR SN134 (doug),T1,2017-08-26,2017-10-25,188,
FP07,T1305,ASTRAL 2023,VMP250IR-DL3 SN92,T2,2023-06-17,2023-06-24,13,3143.55
FP07,T1382,ARCTERX-2025 Interior,VMP SN194,T1,2025-01-31,2025-01-31,1,3143.55
FP07,T1383,ARCTERX-2025 Interior,VMP SN194,T2,2025-01-31,2025-02-19,13,3143.55
FP07,T1592,ARCTERX-2022 Interior,VMP SN194,T1,2022-03-21,2022-03-30,35,3084.30;3084.48;3084.99;3085.32;3085.86;3086.07;3086.10;3086.57;3087.44;3089.13;3090.06;3102.53;3143.55
FP07,T1592,ARCTERX-2022 Wake,VMP SN194,T1,2022-04-07,2022-04-12,2,3143.55
FP07,T1592,ARCTERX-2025 Interior,VMP SN142,T2,2025-02-11,2025-02-17,4,3143.55
FP07,T179,CASPER-West 2017,MR SN134 (doug),T2,2017-08-26,2017-10-25,188,
FP07,T2005,ARCTERX-2022 Interior,VMP SN194,T2,2022-03-21,2022-03-30,35,3079.90;3080.39;3080.74;3081.22;3081.26;3081.31;3081.84;3082.10;3084.05;3084.68;3096.33;3097.37;3143.55
FP07,T2005,ARCTERX-2022 Wake,VMP SN194,T2,2022-04-07,2022-04-12,2,3143.55
FP07,T2007,ARCTERX-2025 Interior,VMP SN142,T1,2025-02-11,2025-02-17,4,3143.55
FP07,T2133,ARCTERX-2025 Interior,VMP SN194,T1,2025-02-01,2025-02-19,12,3143.55
FP07,T2232,ARCTERX-2022 Interior,VMP SN428,T1,2022-03-22,2022-03-31,32,3063.68;3064.88;3064.96;3065.24;3066.20;3066.48;3066.69;3067.21;3067.45;3070.50;3071.02;3084.94;3143.55
FP07,T2232,ARCTERX-2022 Wake,VMP SN428,T1,2022-04-03,2022-04-13,21,3143.55
FP07,T2234,ARCTERX-2022 Interior,VMP SN428,T2,2022-03-22,2022-03-31,32,3077.94;3079.32;3080.08;3080.31;3080.76;3080.86;3081.67;3081.88;3082.51;3086.29;3087.21;3099.60;3143.55
FP07,T2234,ARCTERX-2022 Wake,VMP SN428,T2,2022-04-03,2022-04-13,21,3143.55
FP07,T865,CASPER-East 2015,MR SN134,T1,2015-10-23,2016-08-08,220,
FP07,T865,CASPER-West 2017,MR SN134,T1,2017-10-10,2017-10-23,99,
FP07,T866,CASPER-East 2015,MR SN134,T2,2015-10-23,2016-08-08,220,
